,Obs,ControlMean,ExpCoef_L,ExpCoef_CLI,ExpCoef_CXL
rev_2016_alternate,="351.0000",="145.3713",="25.8847",="-34.2848",="-32.8344"
,,,="(39.3606)",="(40.8352)",="(39.6558)"
rouge,="351.0000",="0.0182",="0.0132",="0.0033",="0.0373"
,,,="(0.0208)",="(0.0200)",="(0.0274)"
edu_yrs,="3614.0000",="10.5634",="-0.0658",="-0.0280",="-0.5980*"
,,,="(0.2418)",="(0.2710)",="(0.3234)"
elect1,="3627.0000",="0.1272",="0.0086",="0.0017",="0.0176"
,,,="(0.0142)",="(0.0166)",="(0.0206)"
lg_inc_mo,="3594.0000",="10.5348",="0.0721",="-0.0687",="-0.2075"
,,,="(0.1646)",="(0.1875)",="(0.2501)"
trust_chief,="3613.0000",="3.0670",="0.0541",="0.1016",="0.1947"
,,,="(0.0589)",="(0.0688)",="(0.0830)"
trust_nat_gov,="3436.0000",="2.5145",="0.0382",="-0.0004",="0.0153"
,,,="(0.0598)",="(0.0670)",="(0.0893)"
trust_prov_gov,="3459.0000",="2.4123",="0.0798",="0.0394",="-0.0005"
,,,="(0.0606)",="(0.0711)",="(0.0848)"
trust_tax_min,="3423.0000",="2.3580",="0.0399",="-0.0187",="-0.0720"
,,,="(0.0582)",="(0.0666)",="(0.0754)"
